City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
104,iqaluit,63.7506,-68.5145,-8.15,78,100,5.66,CA,1677861969
105,tadine,-21.55,167.8833,25.82,89,100,8.93,NC,1677861969
106,victoria,22.2855,114.1577,20.53,74,52,4.02,HK,1677861800
107,orlik,52.5178,99.825,-15.31,84,100,1.49,RU,1677861970
108,belmonte,-15.8631,-38.8828,29.23,59,46,3.7,BR,1677861971
109,keetmanshoop,-26.5833,18.1333,26.46,37,52,14.05,NA,1677861971
110,pandan,14.0453,124.1694,24.84,73,100,6.84,PH,1677861972
111,provideniya,64.3833,-173.3,-27.27,100,91,1.58,RU,1677861972
112,okha,53.5739,142.9478,-24.48,100,83,1.66,RU,1677861973
113,esperance,-33.8667,121.9,20.34,86,6,4.33,AU,1677861974
114,cockburn town,21.4612,-71.1419,26.98,61,40,7.72,TC,1677861925
115,black river,18.0264,-77.8487,29.59,50,0,9.66,JM,1677861974
116,olafsvik,64.8945,-23.7142,4.9,76,100,3.94,IS,1677861975
117,puerto leguizamo,-0.1934,-74.7819,32.45,50,87,1.77,CO,1677861976
118,tura,25.5198,90.2201,20.47,35,0,1.59,IN,1677861976
119,poltava,49.5937,34.5407,1.48,78,100,3.05,UA,1677861974
120,lagoa,39.05,-27.9833,14.14,64,100,2.92,PT,1677861977
